INFO 2024-02-16 17:58:50,078 autoreload 2100 12548 Watching for file changes with StatReloader
INFO 2024-02-16 17:58:56,942 views 2100 16884 ничего
INFO 2024-02-16 17:58:56,946 basehttp 2100 16884 "GET / HTTP/1.1" 200 11
INFO 2024-02-16 17:59:21,989 views 2100 848 ничего
INFO 2024-02-16 17:59:21,991 basehttp 2100 848 "GET /game_1/ HTTP/1.1" 200 11
INFO 2024-02-16 17:59:23,255 views 2100 848 ничего
INFO 2024-02-16 17:59:23,256 basehttp 2100 848 "GET /game_1/ HTTP/1.1" 200 11
INFO 2024-02-16 17:59:26,937 views 2100 848 ничего
INFO 2024-02-16 17:59:26,938 basehttp 2100 848 "GET /game_1/ HTTP/1.1" 200 11
INFO 2024-02-16 17:59:29,700 views 2100 848 ничего
INFO 2024-02-16 17:59:29,701 basehttp 2100 848 "GET /game_1/ HTTP/1.1" 200 11
